dwd_id,wmo_id,name
3207,P029,Maßbach
7392,P032,Aubstadt
2680,P033,"Königshofen, Bad"
4958,P038,Sulzdorf an der Lederhecke
2431,P058,Itzgrund-Herreth
3080,P062,Ludwigsstadt-Lauenstein
2750,P066,Kronach
812,P068,Burgkunstadt
5017,P071,Teuschnitz
6338,P073,"Steben, Bad"
3497,P079,Ludwigschorgast
4818,P088,Stammbach-Querenbach
4109,P095,Rehau
4548,P098,Selb/Oberfranken-Lauterbach
6196,P099,Selb-Spielberg
2480,P100,Kahl/Main
2109,P104,Heinrichsthal
6336,P113,Lohr/Main-Halsbach
191,P125,Arnstein-Müdesheim
6347,P131,Schonungen-Mainberg
2709,P137,Kolitzheim
4016,P138,Prosselsheim-Seligenstadt
6200,P141,Königsberg/Bayern-Holzhausen
1107,P148,Ebrach
7430,P151,Rentweinsdorf-Treinfeld
6195,P158,Scheßlitz-Köttensdorf
5034,P164,Thurnau-Tannfeld
227,P168,Aufseß-Hochstahl
320,P175,Heinersreuth-Vollhof
885,P179,Creußen-Bühl
1357,P182,Fichtelberg/Oberfranken-Hüttstadl
5303,P185,Waldershof-Schafbruck
2556,P188,Kemnath
3999,P189,Pressath-Mühlberg
2274,P190,Hohenberg/Eger
3121,P197,Mähring
5046,P198,Tirschenreuth-Lodermühl
130,P222,Altertheim-Oberaltertheim
789,P228,Bütthard
2600,P232,Kitzingen
3179,P236,Markt Bibart
15122,P237,Ergersheim-Neuherberg
5149,P238,Gollhofen
1279,P257,Möhrendorf-Kleinseebach
1689,P262,Gößweinstein
1721,P265,Gräfenberg-Kasberg
3948,P270,Plech
3571,P280,Neustadt am Kulm-Filchendorf
1458,P287,Freihung-Großschönbrunn
1392,P294,Flossenbürg
5285,P298,Waidhaus-Pfrentsch
4546,P299,Schönsee-Dietersdorf
6201,P300,Simmershofen-Adelhofen
801,P302,Burgbernheim
4287,P305,Rothenburg ob der Tauber
3485,P308,Neuburg/Kammel-Langenhaslach
970,P315,Dietenhofen
5405,P317,Weihenzell-Grüb
6158,P319,Weidenbach-Weiherschneidbach
2860,P321,Langenzenn
4248,P327,Rohr/Mittelfranken-Dechendorf
3667,P333,Nürnberg-Netzstall
4599,P337,Wendelstein-Kleinschwarzenlohe
3975,P343,Pommelsbrunn-Mittelburg
3534,P350,Neumarkt-Höhenberg
151,P354,Amberg-Unterammersricht
3319,P355,Röllbach
2538,P356,"Kastl, Kreis Amberg-Sulzbach"
4494,P359,Schmidmühlen
4493,P363,Schmidgaden
4592,P366,Schwandorf
6216,P370,Trausnitz-Reisach
3739,P372,Oberviechtach
118,P374,Altendorf
4224,P379,Roding-Neubäu
5401,P389,"Weiding, Kreis Cham-Dalking"
985,P405,Dinkelsbühl-Oberwinstetten
2064,P411,Haundorf-Obererlbach
6096,P412,Altmühlsee
3972,P418,Polsingen-Döckingen
5023,P425,Thalmässing
360,P433,Berching
3875,P441,Parsberg/Oberpfalz-Eglwang
359,P444,Beratzhausen
4185,P448,Riedenburg
3617,P453,Nittenau-Harting
103,P460,Hagelstadt
4559,P463,Schorndorf-Knöbling
5548,P467,Wiesenfelden-Utzenzell
7350,P472,Prackenbach-Neuhäusl
4387,P477,Sankt Englmar
6215,P481,Lam-Lambach
3621,P501,Reimlingen
240,P505,Aura im Sinngrund
7319,P515,Donauwörth-Osterweiler
4159,P521,Tagmersheim-Blossenau
